sequence,gender,generation,education_type,locality,religion,how_often,partner,marriage,break,divorce,education,work,sep_from_par,child,p_m,p_b,p_d,p_e,p_w,p_s,p_c,m_b,m_d,m_e,m_w,m_s,m_c,b_d,b_e,b_w,b_s,b_c,d_e,d_w,d_s,d_c,e_w,e_s,e_c,w_s,w_c,s_c
ewmcs,m,1,professional,city,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,<,<,n,>,>,>,>,>,>,>,>,<,<,<,<,<,>
wemscd,f,0,professional,city,yes,sev_a_year,0,1,0,1,1,1,1,1,>,n,>,>,>,>,>,<,<,>,>,=,<,>,>,>,>,>,>,>,>,>,>,<,<,<,<,<
ewpmscb,f,0,general,city,yes,sev_a_year,1,1,1,0,1,1,1,1,<,<,<,>,>,<,<,<,<,>,>,=,<,<,>,>,>,>,>,>,>,>,<,<,<,<,<,<
mswce,m,1,higher,city,no,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,<,=,<,n,>,>,>,>,>,>,>,>,>,>,>,>,=,<
eswmcdpb,f,0,general,city,yes,sev_a_year,1,1,1,1,1,1,1,1,>,<,>,>,>,>,>,<,<,>,>,>,<,>,>,>,>,>,>,>,>,>,<,=,<,>,<,<
ewscm,f,1,professional,city,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,>,>,n,>,>,>,>,>,>,>,>,=,<,<,<,<,<
wmsce,f,0,professional,city,yes,min_once_a_month,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,>,<,<,n,>,>,>,>,>,>,>,>,>,>,>,<,<,<
wpsmceb,f,0,general,city,yes,sev_a_year,1,1,1,0,1,1,1,1,<,<,<,<,>,<,<,<,<,<,>,>,<,<,>,>,>,>,>,>,>,>,>,>,>,<,<,<
ewpsb,m,1,higher,city,yes,min_once_a_month,1,0,1,0,1,1,1,0,<,<,<,>,>,<,<,>,n,>,>,>,n,<,>,>,>,<,>,>,>,n,<,<,<,<,<,<
mscew,f,1,higher,city,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,<,=,<,n,>,>,>,>,>,>,>,>,<,>,>,>,>,<
sewm,f,1,higher,city,yes,sev_a_year,0,1,0,0,1,1,1,0,>,n,n,>,>,>,n,<,<,>,>,>,<,n,>,>,>,n,>,>,>,n,<,>,<,>,<,<
sewmc,m,1,higher,city,no,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,<,>,<,>,<,<
wsmcdpbe,f,0,general,city,yes,min_once_a_month,1,1,1,1,1,1,1,1,>,<,>,<,>,>,>,<,<,<,>,>,<,>,<,>,>,>,<,>,>,>,>,>,>,<,<,<
wmsced,f,0,professional,city,yes,sev_a_year,0,1,0,1,1,1,1,1,>,n,>,>,>,>,>,<,<,<,>,=,<,>,>,>,>,>,>,>,>,>,>,>,>,<,<,<
wes,m,1,higher,city,yes,sev_a_year,0,0,0,0,1,1,1,0,n,n,n,>,>,>,n,n,n,>,>,>,n,n,>,>,>,n,>,>,>,n,>,<,<,<,<,<
wsmdec,f,0,higher,city,yes,sev_a_year,0,1,0,1,1,1,1,1,>,n,>,>,>,>,>,<,<,<,>,>,<,>,>,>,>,>,=,>,>,<,>,>,<,<,<,<
wespc,m,1,general,city,yes,sev_a_year,1,0,0,0,1,1,1,1,<,<,<,>,>,>,=,n,n,>,>,>,>,n,>,>,>,>,>,>,>,>,>,<,<,<,<,<
wpsmceb,f,0,professional,city,yes,sev_a_year,1,1,1,0,1,1,1,1,<,<,<,<,>,=,<,<,<,<,>,>,<,<,>,>,>,>,>,>,>,>,>,>,>,<,<,<
epsmcw,f,1,professional,city,yes,sev_a_year,1,1,0,0,1,1,1,1,<,<,<,>,<,=,<,<,<,>,<,>,<,n,>,>,>,>,>,>,>,>,<,<,<,>,>,<
wepcb,f,1,professional,city,yes,sev_a_year,1,0,1,0,1,1,0,1,<,<,<,>,>,<,<,>,n,>,>,n,>,<,>,>,<,>,>,>,n,>,>,<,<,<,<,>
wemsd,f,1,professional,city,yes,sev_a_year,0,1,0,1,1,1,1,0,>,n,>,>,>,>,n,<,<,>,>,=,<,>,>,>,>,n,>,>,>,<,>,<,<,<,<,<
wemdcs,f,0,professional,city,yes,sev_a_year,0,1,0,1,1,1,1,1,>,n,>,>,>,>,>,<,<,>,>,<,<,>,>,>,>,>,>,>,<,<,>,<,<,<,<,>
emwcspb,f,1,higher,town,yes,sev_a_year,1,1,1,0,1,1,1,1,>,<,<,>,>,>,>,<,<,>,=,<,<,<,>,>,>,>,>,>,>,>,<,<,<,<,<,>
