partner;marriage;break;divorce;eductaion;work;sep_from_par;child;partner;marriage;break;divorce;eductaion;work;sep_from_par;child;partner marriage;partner break;partner divorce;partner education;partner work;partner separation from parents;partner child;marriage break;marriage divorce;marriage education;marriage work;marriage separation from parents;marriage child;break divorce;break education;break work;break separation from parents;break child;divorce education;divorce work;divorce separation from parents;divorce child;education work;education separation from parents;education child;work separation from parents;work child;separation from parents child;education type;locality;religion;how often;generation;gender
0;1;0;0;1;1;1;1;;259;;;230;230;254;289;>;n;n;>;>;>;>;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;=;<;<;<;<;<;professional;village;yes;never;6g;m
0;0;0;0;1;1;1;1;;;;;132;251;280;355;n;n;n;>;>;>;>;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;general;village;yes;sev_a_year;1g;f
0;1;0;0;1;1;1;1;;251;;;157;192;256;271;>;n;n;>;>;>;>;<;<;>;>;<;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;general;village;yes;sev_a_year;1g;f
0;0;0;0;1;1;1;1;;;;;153;201;281;293;n;n;n;>;>;>;>;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;general;village;yes;sev_a_year;1g;f
1;1;0;0;1;1;1;1;278;320;;;283;243;301;283;<;<;<;<;>;<;<;<;<;>;>;>;>;n;>;>;>;>;>;>;>;>;>;<;=;<;<;>;professional;village;yes;never;8g;m
0;1;0;0;1;1;1;1;;284;;;169;136;302;305;>;n;n;>;>;>;>;<;<;>;>;<;<;n;>;>;>;>;>;>;>;>;>;<;<;<;<;<;general;village;yes;never;1g;m
0;1;0;0;1;1;1;1;;288;;;208;277;278;302;>;n;n;>;>;>;>;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;professional;village;yes;never;5g;m
0;1;0;0;1;1;1;1;;220;;;201;175;220;242;>;n;n;>;>;>;>;<;<;>;>;=;<;n;>;>;>;>;>;>;>;>;>;<;<;<;<;<;general;village;yes;sev_a_year;2g;f
0;1;0;0;1;1;1;1;;263;;;209;209;263;272;>;n;n;>;>;>;>;<;<;>;>;=;<;n;>;>;>;>;>;>;>;>;=;<;<;<;<;<;general;village;yes;sev_a_year;5g;f
1;1;1;0;1;1;1;1;243;260;885;;155;242;243;259;<;<;<;>;>;=;<;<;<;>;>;>;>;<;>;>;>;>;>;>;>;>;<;<;<;<;<;<;general;village;yes;never;1g;m
0;1;0;0;1;1;1;1;;301;;;209;212;261;309;>;n;n;>;>;>;>;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;general;village;yes;sev_a_year;3g;m
0;1;0;0;1;1;1;1;;288;;;221;245;393;298;>;n;n;>;>;>;>;<;<;>;>;<;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;>;professional;village;yes;never;3g;m
0;1;0;0;1;1;1;1;;272;;;253;256;412;280;>;n;n;>;>;>;>;<;<;>;>;<;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;>;higher;village;yes;never;9g;f
0;1;0;0;1;1;1;1;;231;;;172;207;270;245;>;n;n;>;>;>;>;<;<;>;>;<;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;>;general;village;yes;sev_a_year;3g;f
0;1;0;0;1;1;1;1;;296;;;312;289;216;357;>;n;n;>;>;>;>;<;<;<;>;>;<;n;>;>;>;>;>;>;>;>;>;>;<;>;<;<;professional;village;yes;never;2g;m
0;1;0;0;1;1;1;1;;248;;;206;249;185;265;>;n;n;>;>;>;>;<;<;>;<;>;<;n;>;>;>;>;>;>;>;>;<;>;<;>;<;<;professional;village;yes;never;6g;f
0;1;0;0;1;1;1;1;;306;;;183;221;306;315;>;n;n;>;>;>;>;<;<;>;>;=;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;general;village;yes;sev_a_year;3g;f
0;1;0;0;1;1;1;1;;344;;;228;254;424;296;>;n;n;>;>;>;>;<;<;>;>;<;>;n;>;>;>;>;>;>;>;>;<;<;<;<;<;>;professional;village;yes;never;4g;m
