,work,separation,partner,marriage,children,gender,generation,Text
1799,0.052742172,0.112554029,0.102049418,0.046319287,0.047624583,1,5,5
1813,0.046881931,0.058956872,0.053454457,0.053632859,0.052387041,0,4,4
1818,0.055672293,0.053597157,0.051024709,0.051195002,0.052387041,1,4,4
1822,0.04395181,0.072356161,0.043735465,0.04388143,0.045243353,1,3,3
1826,0.052742172,0.096474882,0.041305717,0.04388143,0.040480895,1,3,3
1865,0.04395181,0.040197867,0.043735465,0.04388143,0.045243353,1,4,4
1868,0.052742172,0.045557583,0.046165213,0.046319287,0.050005812,1,4,4
1878,0.04395181,0.056277014,0.051024709,0.056070716,0.05476827,1,3,3
1879,0.055672293,0.06163673,0.055884205,0.056070716,0.05476827,1,6,6
1886,0.067392775,0.06163673,0.055884205,0.056070716,0.102392852,0,4,4
1887,0.058602413,0.042877725,0.041305717,0.04388143,0.047624583,1,6,6
1888,0.055672293,0.050917299,0.038875969,0.051195002,0.059530728,0,6,6
1889,0.055672293,0.045557583,0.041305717,0.041443573,0.064293186,1,6,6
1891,0.058602413,0.050917299,0.051024709,0.051195002,0.064293186,0,6,6
1895,0.055672293,0.056277014,0.046165213,0.048757144,0.057149499,1,0,0
1897,0.073253017,0.042877725,0.065603198,0.058508573,0.059530728,1,4,4
1909,0.096693982,0.072356161,0.072892442,0.048757144,0.047624583,0,5,5
1914,0.049812051,0.050917299,0.053454457,0.053632859,0.052387041,0,4,4
1927,0.061532534,0.056277014,0.058313953,0.060946431,0.061911957,0,4,4
1930,0.049812051,0.06163673,0.055884205,0.056070716,0.057149499,1,5,5
1932,0.064462655,0.058956872,0.055884205,0.058508573,0.057149499,0,3,3
1933,0.055672293,0.042877725,0.046165213,0.046319287,0.047624583,1,5,5
1936,0.064462655,0.06163673,0.055884205,0.056070716,0.057149499,1,5,5
1937,0.061532534,0.06163673,0.055884205,0.056070716,0.066674416,0,4,4
1939,0.064462655,0.045557583,0.048594961,0.048757144,0.05476827,1,6,6
1940,0.049812051,0.040197867,0.046165213,0.048757144,0.057149499,1,2,2
1943,0.049812051,0.06163673,0.058313953,0.058508573,0.057149499,1,5,5
1945,0.055672293,0.045557583,0.070462694,0.07069786,0.073818103,1,4,4
1947,0.049812051,0.048237441,0.053454457,0.053632859,0.05476827,0,5,5
1948,0.064462655,0.064316588,0.048594961,0.048757144,0.047624583,1,6,6
1951,0.052742172,0.048237441,0.053454457,0.053632859,0.05476827,0,5,5
1953,0.058602413,0.056277014,0.051024709,0.051195002,0.052387041,1,4,4
1957,0.035161448,0.072356161,0.072892442,0.063384288,0.066674416,1,2,2
1970,0.058602413,0.050917299,0.058313953,0.065822145,0.057149499,1,5,5
1971,0.049812051,0.045557583,0.041305717,0.04388143,0.042862124,1,4,4
1972,0.049812051,0.06163673,0.055884205,0.056070716,0.066674416,1,4,4
1973,0.058602413,0.053597157,0.053454457,0.053632859,0.052387041,1,6,6
1974,0.055672293,0.040197867,0.046165213,0.046319287,0.045243353,1,2,2
1975,0.049812051,0.045557583,0.043735465,0.04388143,0.045243353,1,4,4
1977,0.052742172,0.056277014,0.051024709,0.053632859,0.052387041,0,6,6
1980,0.055672293,0.06163673,0.051024709,0.051195002,0.047624583,1,4,4
1984,0.046881931,0.042877725,0.038875969,0.041443573,0.038099666,1,4,4
1991,0.052742172,0.058956872,0.053454457,0.056070716,0.05476827,1,6,6
1993,0.052742172,0.045557583,0.094760174,0.095076432,0.061911957,1,3,3
1995,0.058602413,0.056277014,0.053454457,0.056070716,0.057149499,1,4,4
2014,0.061532534,0.056277014,0.051024709,0.053632859,0.057149499,1,0,0
2017,0.076183137,0.048237441,0.060743701,0.060946431,0.061911957,0,3,3
2023,0.052742172,0.048237441,0.068032946,0.060946431,0.064293186,0,5,5
2051,0.073253017,0.066996446,0.060743701,0.082887146,0.083343019,0,5,5
2064,0.067392775,0.075036019,0.08747093,0.090200717,0.092867936,1,2,2
2078,0.064462655,0.064316588,0.058313953,0.060946431,0.059530728,1,5,5
2087,0.067392775,0.045557583,0.055884205,0.058508573,0.057149499,0,5,5
2089,0.058602413,0.050917299,0.046165213,0.051195002,0.047624583,1,0,0
2093,0.04395181,0.048237441,0.043735465,0.046319287,0.045243353,0,4,4
2095,0.041021689,0.128633176,0.116627907,0.058508573,0.042862124,1,4,4
2098,0.061532534,0.045557583,0.07532219,0.078011431,0.052387041,0,5,5
2105,0.105484344,0.066996446,0.055884205,0.056070716,0.05476827,0,4,4
2113,0.046881931,0.06163673,0.055884205,0.058508573,0.057149499,0,6,6
2118,0.052742172,0.064316588,0.055884205,0.060946431,0.059530728,0,0,0
2123,0.061532534,0.075036019,0.082611434,0.056070716,0.08096179,0,5,5
2131,0.064462655,0.053597157,0.053454457,0.053632859,0.040480895,0,4,4
2146,0.052742172,0.069676304,0.06317345,0.063384288,0.064293186,1,4,4
2151,0.061532534,0.048237441,0.060743701,0.060946431,0.064293186,0,3,3
2158,0.041021689,0.064316588,0.048594961,0.068260002,0.050005812,0,1,1
2161,0.04395181,0.048237441,0.043735465,0.046319287,0.045243353,0,0,0
2163,0.067392775,0.053597157,0.048594961,0.051195002,0.050005812,1,0,0
2182,0.049812051,0.048237441,0.055884205,0.058508573,0.061911957,0,4,4
2186,0.049812051,0.048237441,0.058313953,0.058508573,0.061911957,0,4,4
2188,0.049812051,0.066996446,0.060743701,0.060946431,0.059530728,0,5,5
2195,0.070322896,0.048237441,0.043735465,0.07069786,0.050005812,1,6,6
2214,0.082043379,0.075036019,0.068032946,0.068260002,0.069055645,1,2,2
2216,0.052742172,0.050917299,0.09961967,0.046319287,0.047624583,1,5,5
2224,0.046881931,0.058956872,0.051024709,0.051195002,0.05476827,0,3,3
2233,0.055672293,0.042877725,0.051024709,0.051195002,0.057149499,0,0,0
2257,0.058602413,0.053597157,0.041305717,0.051195002,0.052387041,1,3,3
2259,0.061532534,0.050917299,0.046165213,0.046319287,0.045243353,1,0,0
2269,0.04395181,0.053597157,0.055884205,0.056070716,0.05476827,0,2,2
2286,0.046881931,0.048237441,0.055884205,0.063384288,0.066674416,0,4,4
2294,0.061532534,0.050917299,0.055884205,0.063384288,0.066674416,0,6,6
2296,0.052742172,0.058956872,0.053454457,0.080449288,0.05476827,1,5,5
