gender;education type;locality;religion;how_often;generation;partner;marriage;break;divorce;child;sep_from_par;work;education;partner;marriage;break;divorce;child;sep_from_par;work;education;last_event
f;professional;city;yes;sev_a_year;8g;1;1;0;1;1;1;1;1;381;235;;267;244;245;202;199;br
m;higher;city;yes;sev_a_year;9g;0;1;0;0;0;1;1;1;;288;;;;280;282;280;div
f;professional;city;yes;sev_a_year;10g;0;1;0;0;0;1;1;1;;234;;;;234;233;232;child
f;general;city;yes;sev_a_year;2g;1;1;0;0;1;1;1;1;196;225;;;211;196;213;375;br
f;higher;city;yes;sev_a_year;3g;0;1;0;0;1;1;1;0;;228;;;244;228;196;;education
m;professional;city;yes;never;7g;1;1;0;0;0;1;1;1;235;236;;;;235;204;224;child
f;professional;city;yes;sev_a_year;4g;0;1;0;0;1;0;1;1;;211;;;222;;209;207;sep
f;general;city;yes;sev_a_year;4g;1;1;0;0;1;1;1;1;229;241;;;247;251;208;221;br
f;professional;city;yes;never;2g;1;1;0;1;1;1;1;1;606;258;;263;266;359;217;607;br
f;professional;city;yes;sev_a_year;2g;0;1;0;0;1;0;1;1;;227;;;245;;226;320;sep
m;professional;city;yes;sev_a_year;2g;0;1;0;0;1;0;1;1;;298;;;307;;206;475;sep
f;professional;city;yes;sev_a_year;6g;0;1;0;0;0;1;1;1;;371;;;;361;227;248;child
f;professional;city;yes;sev_a_year;2g;0;1;0;0;0;1;1;1;;283;;;;283;224;300;child
f;professional;city;yes;min_once_a_month;11g;0;1;0;0;0;1;1;1;;277;;;;277;229;227;child
m;higher;city;yes;min_once_a_month;10g;0;1;0;0;1;1;1;0;;275;;;304;275;276;;education
f;higher;city;yes;sev_a_year;11g;1;1;0;0;1;1;1;0;202;229;;;232;202;263;;education
f;professional;city;yes;sev_a_year;2g;1;1;0;0;1;1;1;1;236;238;;;248;286;244;241;br
f;higher;city;yes;never;2g;0;1;0;0;0;1;1;1;;348;;;;245;299;316;child
f;professional;city;yes;never;2g;0;0;0;0;0;1;1;0;;;;;;252;252;;education
m;higher;city;yes;sev_a_year;10g;0;1;0;0;1;0;1;1;;350;;;364;;288;269;sep
f;professional;city;yes;sev_a_year;4g;0;1;0;0;0;1;1;1;;304;;;;206;206;289;child
f;professional;city;yes;sev_a_year;5g;0;1;0;0;1;1;1;1;;227;;;252;227;228;226;div
m;professional;city;yes;sev_a_year;9g;0;1;0;0;0;1;1;1;;305;;;;305;249;249;child
m;professional;city;yes;never;7g;0;1;0;1;1;0;1;1;;297;;311;391;;221;209;sep
m;general;city;yes;never;5g;0;1;0;0;0;1;1;1;;286;;;;240;187;235;child
f;higher;city;yes;sev_a_year;2g;0;1;0;0;0;1;1;1;;312;;;;237;256;292;child
