gender;education type;locality;religion;how_often;generation;1_event
m;general;city;yes;never;5;work
f;higher;city;yes;min_once_a_month;5;work
f;professional;city;yes;sev_a_year;6;education
f;general;city;yes;never;4;education
f;higher;city;no;never;1;sep
m;higher;city;no;never;2;work
f;higher;city;yes;never;5;sep
m;general;city;yes;never;7;sep
f;higher;city;yes;min_once_a_month;6;sep
f;higher;city;yes;min_once_a_month;2;marriage
m;professional;city;yes;sev_a_year;7;sep
m;higher;city;yes;sev_a_week;8;sep
f;professional;city;yes;sev_a_year;6;work
m;higher;city;yes;sev_a_year;8;marriage
f;general;city;yes;sev_a_week;1;education
f;higher;city;yes;min_once_a_month;9;sep
f;professional;city;yes;min_once_a_month;5;sep
f;professional;city;yes;sev_a_year;5;work
f;professional;city;yes;never;8;education
m;higher;city;yes;sev_a_year;11;work
m;higher;city;yes;sev_a_year;8;partner
m;higher;city;no;never;4;sep
m;professional;city;yes;sev_a_year;11;education
f;professional;city;yes;sev_a_year;4;work
m;professional;city;yes;never;10;education
m;higher;city;yes;sev_a_year;10;work
f;higher;city;yes;never;6;work
f;professional;city;yes;sev_a_year;2;marriage
m;higher;city;yes;sev_a_year;9;education
f;professional;city;yes;sev_a_year;7;education
f;higher;city;yes;sev_a_year;10;marriage
f;professional;city;yes;sev_a_year;9;child
f;general;city;yes;min_once_a_month;4;work
f;higher;city;yes;sev_a_year;6;sep
f;professional;city;yes;sev_a_year;9;education
f;professional;city;yes;min_once_a_month;1;sep
f;general;city;yes;min_once_a_month;2;sep
f;general;city;yes;sev_a_year;9;marriage
m;professional;city;no;never;4;sep
m;professional;city;yes;sev_a_year;3;sep
f;professional;city;yes;sev_a_year;2;sep
m;higher;city;yes;never;7;sep
f;general;city;yes;sev_a_year;5;work
m;higher;city;yes;sev_a_year;11;sep
f;general;city;yes;sev_a_year;2;work
f;higher;city;yes;sev_a_year;11;work
f;general;city;yes;sev_a_year;4;work
m;professional;city;yes;sev_a_year;7;work
f;professional;city;yes;sev_a_year;6;work
m;higher;city;yes;sev_a_year;9;work
m;professional;city;yes;never;6;education
f;professional;city;no;sev_a_year;5;education
f;professional;city;yes;never;11;education
m;professional;city;yes;sev_a_year;7;work
m;professional;city;yes;sev_a_year;7;sep
f;professional;city;yes;sev_a_year;7;sep
m;professional;city;yes;never;6;work
m;professional;city;yes;min_once_a_month;8;education
m;professional;city;yes;sev_a_year;10;sep
f;professional;city;yes;sev_a_year;6;sep
f;professional;city;yes;never;6;education
f;professional;city;yes;sev_a_year;5;sep
f;general;city;yes;sev_a_year;9;sep
m;general;city;yes;never;1;education
m;professional;city;yes;sev_a_year;4;sep
f;professional;city;yes;sev_a_year;7;work
f;professional;city;yes;never;7;work
m;professional;city;yes;never;4;work
f;higher;city;yes;never;10;sep
m;general;city;no;never;4;sep
f;higher;city;yes;never;10;marriage
f;professional;city;yes;sev_a_year;10;partner
f;professional;city;yes;sev_a_year;9;work
