gender;education type;locality;religion;how_often;generation;first_event
f;higher;village;yes;never;1g;sep
f;professional;village;yes;sev_a_year;9g;partner
m;professional;village;no;never;8g;sep
f;professional;village;yes;never;3g;work
m;professional;village;yes;never;5g;work
f;professional;village;yes;never;1g;work
f;professional;village;yes;never;4g;education
m;general;village;no;never;10g;work
f;professional;village;yes;sev_a_year;9g;sep
f;general;village;yes;sev_a_year;9g;work
f;general;village;yes;never;11g;sep
f;professional;village;no;never;4g;sep
f;higher;village;yes;never;6g;work
m;general;village;no;never;1g;work
m;general;village;no;never;10g;sep
f;professional;village;yes;never;5g;work
f;professional;village;yes;never;2g;work
m;general;village;yes;never;7g;work
f;general;village;yes;never;2g;education
f;professional;village;yes;never;9g;education
f;professional;village;yes;sev_a_week;9g;work
f;general;village;no;never;7g;education
f;professional;village;yes;never;8g;education
m;professional;village;yes;once_a_week;5g;work
f;professional;village;yes;never;9g;sep
f;professional;village;no;never;8g;sep
f;professional;village;yes;never;10g;work
f;professional;village;no;never;6g;sep
f;professional;village;no;never;5g;marriage
f;professional;village;no;never;7g;sep
m;higher;village;yes;never;10g;sep
f;professional;village;no;never;9g;work
m;professional;village;no;never;8g;work
m;professional;village;no;never;9g;education
